Channel_group,course,lead_id,Lead_type,lead_date,graduation_year,amount_paid,paid_at
F,Java,"1,43,396",EFG,27-05-2024 05:16,2004,,
F,Java,"1,43,419",EFG,17-05-2024 12:34,2019,,
F,Java,"1,43,422",EFG,14-05-2024 17:18,2007,,
F,Java,"1,37,138",EFG,19-05-2024 04:22,2025,,
D,Java,"1,36,970",ABC,18-05-2024 09:22,2003,,
A,Java,"41,69,104",EFG,28-05-2024 13:39,2003,,
G,Java,"41,69,004",EFG,05-05-2024 12:35,2000,48402,06-05-2024 12:35
D,Java,"1,37,018",ABC,11-05-2024 15:29,2004,48402,16-05-2024 15:29
F,Java,"1,37,162",EFG,08-05-2024 17:31,2009,,
F,Java,"1,37,238",EFG,21-05-2024 16:58,2009,,
A,Java,"41,67,239",EFG,15-05-2024 22:22,2028,,
F,Java,"1,36,528",EFG,04-05-2024 21:01,2016,,
D,Java,"1,36,249",ABC,27-05-2024 07:05,2004,,
A,Java,"1,36,480",ABC,03-05-2024 12:38,2013,,
A,Java,"1,36,390",ABC,30-05-2024 09:17,2027,,
F,Java,"1,36,466",EFG,30-05-2024 13:21,2003,,
A,Java,"1,36,561",ABC,20-05-2024 19:38,2002,,
A,Java,"41,67,217",XYZ,26-05-2024 07:23,2023,,
D,Java,"1,37,780",ABC,11-05-2024 01:48,2029,,
A,Java,"41,70,322",XYZ,12-05-2024 02:39,2021,,
G,Java,"1,36,977",ABC,22-05-2024 04:36,2018,,
A,Java,"1,37,026",ABC,13-05-2024 04:16,2010,,
A,Java,"1,37,195",ABC,19-05-2024 18:16,2021,,
A,Java,"1,37,230",ABC,17-05-2024 11:52,2023,,
D,Java,"1,36,903",ABC,10-05-2024 16:42,2006,,
C,Java,"1,37,103",ABC,25-05-2024 13:21,2014,,
A,Java,"1,37,132",ABC,29-05-2024 01:21,2017,48402,30-05-2024 01:21
G,Java,"1,36,198",ABC,04-05-2024 00:11,2016,,
D,Java,"1,36,470",ABC,06-05-2024 19:23,2002,,
D,Java,"1,36,259",ABC,12-05-2024 02:04,2001,,
D,Java,"1,36,510",ABC,05-05-2024 13:20,2014,,
D,Java,"41,67,957",EFG,19-05-2024 09:30,2016,,
A,Java,"1,36,482",ABC,04-05-2024 02:48,2013,48402,14-05-2024 02:48
B,Java,"41,90,646",XYZ,03-05-2024 11:40,2023,,
E,Java,"1,37,867",ABC,02-05-2024 15:15,2009,,
C,Java,"1,37,852",ABC,13-05-2024 01:57,2003,,
D,Java,"1,37,854",ABC,03-05-2024 17:11,2018,,
A,Java,"1,42,332",ABC,10-05-2024 16:45,2009,,
F,Java,"1,42,619",EFG,21-05-2024 08:37,2006,,
F,Java,"1,42,401",EFG,10-05-2024 21:23,2016,,
A,Java,"1,42,457",ABC,16-05-2024 03:17,2019,,
D,Java,"1,42,507",ABC,05-05-2024 23:46,2026,,
A,Java,"1,42,512",ABC,04-05-2024 13:25,2005,,
A,Java,"1,42,579",ABC,29-05-2024 23:18,2019,,
D,Java,"1,42,607",ABC,30-05-2024 08:32,2021,,
D,Java,"1,42,728",ABC,04-05-2024 13:53,2013,,
A,Java,"1,42,741",ABC,19-05-2024 16:15,2023,,
A,Java,"1,42,127",ABC,31-05-2024 10:29,2013,,
F,Java,"1,42,848",EFG,22-05-2024 08:56,2005,,
H,Java,"1,42,374",ABC,15-05-2024 04:45,2029,,
A,Java,"41,77,355",EFG,11-05-2024 15:22,2018,48402,31-05-2024 15:22
G,Java,"1,42,544",ABC,26-05-2024 16:45,2023,,
F,Java,"1,42,643",EFG,07-05-2024 18:41,2020,,
G,Java,"1,42,752",ABC,03-05-2024 10:24,2026,,
F,Java,"1,42,785",EFG,22-05-2024 12:47,2004,,
B,Java,"41,98,242",XYZ,10-05-2024 08:30,2019,48402,30-05-2024 08:30
A,Java,"1,42,443",ABC,31-05-2024 03:40,2030,,
A,Java,"1,42,498",ABC,06-05-2024 07:17,2026,,
F,Java,"1,42,588",EFG,13-05-2024 21:21,2018,,
F,Java,"1,42,796",EFG,04-05-2024 22:35,2027,,
F,Java,"1,42,854",EFG,13-05-2024 23:52,2010,,
F,Java,"1,41,650",EFG,17-05-2024 10:21,2016,,
D,Java,"1,41,673",ABC,19-05-2024 14:51,2005,,
H,Java,"1,41,793",ABC,02-05-2024 02:48,2006,,
F,Java,"1,41,907",EFG,03-05-2024 18:37,2024,,
F,Java,"1,41,966",EFG,05-05-2024 04:26,2009,,
F,Java,"1,41,989",EFG,27-05-2024 04:29,2000,,
F,Java,"1,42,012",EFG,08-05-2024 13:52,2008,,
F,Java,"1,42,076",EFG,21-05-2024 04:18,2019,,
D,Java,"1,42,079",ABC,13-05-2024 23:59,2006,,
A,Java,"1,42,244",ABC,24-05-2024 16:07,2008,,
F,Java,"1,42,245",EFG,25-05-2024 04:25,2003,,
F,Java,"1,42,285",EFG,18-05-2024 14:17,2020,,
A,Java,"1,42,289",ABC,17-05-2024 03:34,2026,,
A,Java,"1,42,301",ABC,19-05-2024 22:20,2021,,
F,Java,"1,41,773",EFG,17-05-2024 05:58,2014,,
A,Java,"1,41,803",ABC,29-05-2024 08:58,2005,,
D,Java,"1,41,987",ABC,31-05-2024 16:13,2030,,
I,Java,"1,42,023",ABC,06-05-2024 17:15,2002,,
D,Java,"1,42,035",ABC,13-05-2024 16:41,2024,,
E,Java,"1,42,054",ABC,13-05-2024 12:47,2030,,
G,Java,"1,42,139",ABC,23-05-2024 13:10,2007,,
B,Java,"41,98,235",EFG,29-05-2024 09:57,2009,,
A,Java,"1,41,766",ABC,13-05-2024 04:54,2000,,
F,Java,"1,41,879",EFG,15-05-2024 13:29,2022,,
A,Java,"1,41,959",ABC,14-05-2024 23:28,2009,,
F,Java,"1,42,103",EFG,02-05-2024 13:54,2026,,
F,Java,"1,42,120",EFG,26-05-2024 13:39,2023,,
D,Java,"1,42,189",ABC,03-05-2024 12:25,2027,,
A,Java,"1,42,209",ABC,21-05-2024 05:59,2027,,
A,Java,"1,42,227",ABC,09-05-2024 15:08,2002,,
G,Java,"1,42,277",ABC,17-05-2024 09:16,2011,,
C,Java,"1,41,841",ABC,19-05-2024 22:19,2004,48402,27-05-2024 22:19
I,Java,"1,41,872",ABC,20-05-2024 13:50,2015,,
A,Java,"1,41,904",ABC,31-05-2024 15:12,2021,,
I,Java,"1,42,082",ABC,24-05-2024 16:29,2007,,
F,Java,"1,42,138",EFG,22-05-2024 14:20,2006,,
F,Java,"1,37,127",EFG,26-05-2024 11:35,2009,,
A,Java,"1,37,224",ABC,11-05-2024 17:45,2009,,
F,Java,"1,37,152",EFG,10-05-2024 13:41,2007,,
A,Java,"1,37,908",ABC,06-05-2024 18:00,2003,,
D,Java,"1,35,975",ABC,20-05-2024 16:03,2014,,
A,Java,"1,35,797",ABC,29-05-2024 22:01,2030,,
A,Java,"41,63,894",EFG,26-05-2024 05:01,2022,48402,29-05-2024 05:01
A,Java,"1,35,977",ABC,02-05-2024 22:36,2001,,
F,Java,"1,35,744",EFG,20-05-2024 13:00,2028,,
A,Java,"1,35,745",ABC,28-05-2024 03:22,2006,48402,31-05-2024 03:22
D,Java,"1,37,364",ABC,29-05-2024 03:01,2026,,
F,Java,"1,37,448",EFG,27-05-2024 06:15,2026,,
B,Java,"41,73,072",EFG,01-05-2024 09:09,2012,,
A,Java,"1,37,343",ABC,26-05-2024 17:56,2002,,
D,Java,"1,37,600",ABC,27-05-2024 14:28,2004,,
E,Java,"1,37,677",ABC,20-05-2024 22:52,2003,,
A,Java,"41,72,085",XYZ,16-05-2024 00:10,2028,,
A,Java,"1,37,474",ABC,22-05-2024 09:09,2023,,
D,Java,"1,36,852",ABC,24-05-2024 08:46,2022,,
F,Java,"1,36,902",EFG,17-05-2024 00:08,2019,,
A,Java,"1,36,141",ABC,13-05-2024 07:23,2028,,
D,Java,"1,35,850",ABC,15-05-2024 00:47,2013,,
F,Java,"1,37,690",EFG,26-05-2024 15:38,2007,,
F,Java,"1,37,705",EFG,18-05-2024 08:46,2015,,
H,Java,"1,37,601",ABC,12-05-2024 20:29,2026,,
A,Java,"1,36,756",ABC,29-05-2024 20:47,2020,,
H,Java,"1,36,015",ABC,30-05-2024 05:09,2005,48402,31-05-2024 05:09
H,Java,"1,35,662",ABC,21-05-2024 01:15,2025,,
C,Java,"1,35,415",ABC,22-05-2024 19:55,2012,48402,28-05-2024 19:55
D,Java,"1,35,798",ABC,23-05-2024 06:23,2017,,
F,Java,"1,35,838",EFG,18-05-2024 03:55,2020,,
D,Java,"1,40,915",ABC,04-05-2024 11:56,2023,,
A,Java,"1,37,993",ABC,04-05-2024 14:27,2014,,
G,Java,"1,36,516",ABC,23-05-2024 07:34,2000,,
A,Java,"1,36,270",ABC,03-05-2024 21:18,2010,,
F,Java,"1,35,398",EFG,27-05-2024 18:38,2030,,
H,Java,"1,36,367",ABC,08-05-2024 16:07,2019,,
A,Java,"1,36,453",ABC,07-05-2024 05:41,2024,,
F,Java,"1,37,019",EFG,23-05-2024 16:09,2023,,
F,Java,"1,37,196",EFG,15-05-2024 11:51,2015,,
C,Java,"41,68,634",XYZ,29-05-2024 15:47,2023,,
F,Java,"1,37,199",EFG,18-05-2024 02:23,2030,,
F,Java,"1,37,795",EFG,11-05-2024 23:19,2002,,
A,Java,"1,37,976",ABC,14-05-2024 05:40,2012,,
H,Java,"1,36,706",ABC,28-05-2024 11:07,2009,,
D,Java,"1,36,732",ABC,27-05-2024 13:32,2018,,
C,Java,"1,35,888",ABC,13-05-2024 15:19,2014,,
F,Java,"1,36,046",EFG,20-05-2024 05:36,2003,,
F,Java,"1,35,325",EFG,26-05-2024 23:55,2028,,
A,Java,"1,35,568",ABC,21-05-2024 12:40,2026,,
F,Java,"1,35,363",EFG,26-05-2024 10:31,2000,,
F,Java,"1,35,427",EFG,17-05-2024 06:57,2009,,
D,Java,"1,35,532",ABC,09-05-2024 03:27,2018,,
A,Java,"1,35,444",ABC,12-05-2024 11:58,2021,,
G,Java,"1,35,588",ABC,27-05-2024 04:27,2025,,
C,Java,"1,38,120",ABC,18-05-2024 10:56,2009,,
D,Java,"1,38,188",ABC,22-05-2024 07:26,2008,,
C,Java,"1,38,113",ABC,30-05-2024 23:36,2016,,
E,Java,"1,38,209",ABC,29-05-2024 02:48,2024,,
D,Java,"1,39,712",ABC,17-05-2024 03:03,2004,,
F,Java,"1,39,770",EFG,17-05-2024 07:12,2016,,
G,Java,"1,39,747",ABC,25-05-2024 16:26,2016,,
A,Java,"1,39,758",ABC,30-05-2024 10:04,2015,,
A,Java,"1,39,786",ABC,23-05-2024 18:42,2007,,
A,Java,"1,39,850",ABC,20-05-2024 16:53,2000,,
D,Java,"1,39,864",ABC,30-05-2024 07:24,2000,,
D,Java,"1,39,894",ABC,01-05-2024 15:32,2010,,
A,Java,"1,39,909",ABC,13-05-2024 15:27,2002,,
G,Java,"1,39,965",ABC,05-05-2024 03:11,2029,,
A,Java,"1,40,070",ABC,26-05-2024 21:21,2024,,
G,Java,"1,39,875",ABC,02-05-2024 19:03,2017,,
A,Java,"1,39,941",ABC,21-05-2024 03:48,2023,,
E,Java,"1,39,759",ABC,26-05-2024 04:35,2008,,
A,Java,"1,39,865",ABC,26-05-2024 23:07,2027,,
F,Java,"1,40,080",EFG,20-05-2024 11:58,2002,,
H,Java,"1,39,201",ABC,16-05-2024 14:25,2009,,
F,Java,"1,39,250",EFG,09-05-2024 02:15,2028,,
A,Java,"1,39,312",ABC,27-05-2024 19:19,2013,,
C,Java,"1,39,320",ABC,19-05-2024 05:07,2001,,
A,Java,"1,39,403",ABC,02-05-2024 13:47,2010,,
A,Java,"1,39,427",ABC,30-05-2024 21:00,2000,,
A,Java,"1,39,545",ABC,29-05-2024 20:23,2018,,
F,Java,"1,39,583",EFG,19-05-2024 18:52,2026,,
D,Java,"1,39,609",ABC,06-05-2024 23:38,2011,,
A,Java,"1,39,617",ABC,05-05-2024 16:51,2004,,
A,Java,"1,37,360",ABC,04-05-2024 09:28,2017,,
A,Java,"1,37,468",ABC,27-05-2024 00:16,2015,,
A,Java,"1,37,692",ABC,09-05-2024 07:50,2024,,
F,Java,"1,36,836",EFG,16-05-2024 20:55,2004,,
F,Java,"1,41,130",EFG,28-05-2024 20:38,2013,,
E,Java,"1,41,184",ABC,11-05-2024 00:05,2006,,
E,Java,"41,88,254",EFG,14-05-2024 06:26,2016,,
D,Java,"1,41,274",ABC,09-05-2024 04:19,2021,,
A,Java,"1,41,107",ABC,04-05-2024 13:15,2019,,
F,Java,"1,41,346",EFG,09-05-2024 00:30,2012,,
A,Java,"1,41,355",ABC,06-05-2024 08:21,2017,,
A,Java,"41,93,452",EFG,17-05-2024 06:52,2009,,
F,Java,"1,41,448",EFG,04-05-2024 06:32,2016,,
A,Java,"1,41,476",ABC,24-05-2024 22:07,2023,,
A,Java,"1,41,571",ABC,21-05-2024 06:11,2001,,
A,Java,"41,96,669",EFG,18-05-2024 19:32,2012,48402,29-05-2024 19:32
F,Java,"1,41,617",EFG,26-05-2024 14:36,2019,,
D,Java,"1,40,989",ABC,23-05-2024 16:48,2016,,
F,Java,"1,41,016",EFG,03-05-2024 01:30,2014,,
F,Java,"1,41,098",EFG,06-05-2024 22:56,2019,,
I,Java,"1,41,229",ABC,09-05-2024 17:56,2012,,
A,Java,"41,75,022",XYZ,22-05-2024 01:01,2027,,
F,Java,"1,41,412",EFG,21-05-2024 15:10,2001,,
I,Java,"1,41,432",ABC,23-05-2024 14:08,2028,,
F,Java,"1,41,446",EFG,06-05-2024 13:40,2005,,
F,Java,"1,41,480",EFG,21-05-2024 13:50,2029,,
D,Java,"1,41,551",ABC,11-05-2024 11:59,2025,,
F,Java,"1,41,579",EFG,30-05-2024 11:44,2010,,
F,Java,"1,41,038",EFG,09-05-2024 09:13,2010,,
D,Java,"1,41,214",ABC,22-05-2024 23:36,2002,,
F,Java,"1,41,408",EFG,26-05-2024 15:35,2021,,
I,Java,"1,41,413",ABC,08-05-2024 23:59,2028,,
F,Java,"1,41,461",EFG,22-05-2024 01:06,2016,,
F,Java,"1,41,596",EFG,19-05-2024 15:40,2015,,
H,Java,"1,40,965",ABC,10-05-2024 03:16,2026,,
E,Java,"1,40,994",ABC,02-05-2024 21:23,2020,,
A,Java,"1,41,001",ABC,21-05-2024 06:33,2020,,
G,Java,"1,41,032",ABC,03-05-2024 14:38,2027,,
D,Java,"1,41,255",ABC,30-05-2024 15:17,2000,,
D,Java,"1,41,259",ABC,21-05-2024 13:16,2013,48402,29-05-2024 13:16
F,Java,"1,41,332",EFG,12-05-2024 18:02,2016,,
B,Java,"41,85,912",XYZ,19-05-2024 02:33,2018,,
D,Java,"1,41,418",ABC,04-05-2024 16:08,2023,,
D,Java,"1,41,479",ABC,31-05-2024 22:36,2010,,
A,Java,"1,41,607",ABC,18-05-2024 00:43,2010,,
A,Java,"1,39,518",ABC,18-05-2024 14:53,2019,,
A,Java,"1,38,819",ABC,28-05-2024 05:05,2024,,
A,Java,"1,38,761",ABC,13-05-2024 01:48,2004,,
A,Java,"1,39,008",ABC,23-05-2024 16:40,2023,,
F,Java,"1,39,108",EFG,22-05-2024 23:13,2007,,
D,Java,"1,38,850",ABC,29-05-2024 01:31,2006,,
A,Java,"1,38,907",ABC,06-05-2024 15:52,2019,48402,27-05-2024 15:52
A,Java,"1,39,193",ABC,06-05-2024 01:48,2009,,
A,Java,"1,38,833",ABC,30-05-2024 02:30,2016,,
F,Java,"1,38,842",EFG,24-05-2024 22:15,2022,,
D,Java,"1,39,046",ABC,04-05-2024 21:46,2025,,
A,Java,"1,39,092",ABC,12-05-2024 14:13,2019,,
D,Java,"1,39,186",ABC,01-05-2024 10:26,2019,,
F,Java,"1,39,191",EFG,24-05-2024 05:16,2019,,
D,Java,"1,38,241",ABC,03-05-2024 04:13,2009,,
A,Java,"1,38,226",ABC,29-05-2024 12:32,2001,,
F,Java,"1,38,281",EFG,07-05-2024 04:05,2010,,
F,Java,"1,38,454",EFG,29-05-2024 16:03,2010,,
E,Java,"1,38,521",ABC,18-05-2024 23:41,2013,,
B,Java,"41,77,134",EFG,13-05-2024 09:27,2024,,
D,Java,"1,38,446",ABC,07-05-2024 22:21,2029,,
A,Java,"1,38,524",ABC,26-05-2024 15:07,2002,,
F,Java,"1,38,556",EFG,13-05-2024 04:41,2007,,
D,Java,"1,38,600",ABC,22-05-2024 16:22,2004,,
A,Java,"1,38,655",ABC,15-05-2024 07:34,2025,,
A,Java,"1,38,675",ABC,18-05-2024 18:27,2013,,
F,Java,"1,38,452",EFG,18-05-2024 01:13,2018,,
A,Java,"41,77,756",XYZ,28-05-2024 11:41,2018,,
C,Java,"41,75,050",EFG,25-05-2024 01:00,2006,,
A,Java,"1,38,631",ABC,31-05-2024 12:50,2007,,
F,Java,"1,38,657",EFG,10-05-2024 06:44,2028,,
A,Java,"1,38,253",ABC,02-05-2024 19:31,2021,,
A,Java,"1,38,410",ABC,14-05-2024 01:27,2028,,
A,Java,"41,63,316",XYZ,18-05-2024 19:06,2020,,
D,Java,"1,38,563",ABC,26-05-2024 23:00,2023,,
A,Java,"1,38,065",ABC,25-05-2024 07:05,2030,,
D,Java,"1,35,667",ABC,31-05-2024 05:58,2022,,
F,Java,"1,35,503",EFG,28-05-2024 17:24,2019,,
C,Java,"1,35,556",ABC,03-05-2024 23:47,2007,,
F,Java,"1,35,616",EFG,01-05-2024 19:22,2000,,
F,Java,"1,35,649",EFG,15-05-2024 15:44,2001,,
F,Java,"1,35,904",EFG,22-05-2024 03:28,2002,,
A,Java,"1,35,724",ABC,02-05-2024 01:33,2029,,
D,Java,"41,73,131",EFG,15-05-2024 11:38,2008,,
F,Java,"1,37,446",EFG,14-05-2024 17:43,2001,,
C,Java,"1,37,691",ABC,10-05-2024 17:56,2011,,
D,Java,"1,37,481",ABC,09-05-2024 02:01,2013,,
F,Java,"1,37,646",EFG,13-05-2024 21:40,2003,,
A,Java,"1,37,670",ABC,18-05-2024 03:38,2009,,
A,Java,"1,37,686",ABC,14-05-2024 19:53,2003,,
A,Java,"1,36,771",ABC,29-05-2024 11:57,2018,,
F,Java,"1,40,142",EFG,22-05-2024 22:41,2014,,
G,Java,"1,40,151",ABC,12-05-2024 03:05,2018,,
F,Java,"1,40,354",EFG,19-05-2024 10:33,2015,,
A,Java,"1,40,371",ABC,04-05-2024 03:48,2026,,
H,Java,"1,40,391",ABC,07-05-2024 15:23,2017,,
A,Java,"1,40,442",ABC,03-05-2024 04:47,2029,,
E,Java,"1,40,555",ABC,01-05-2024 08:03,2001,,
I,Java,"1,40,690",ABC,12-05-2024 22:44,2025,,
D,Java,"1,40,745",ABC,11-05-2024 20:27,2023,,
F,Java,"1,40,851",EFG,17-05-2024 03:53,2015,,
A,Java,"1,40,363",ABC,04-05-2024 12:59,2002,,
F,Java,"1,40,432",EFG,10-05-2024 01:49,2025,,
A,Java,"1,35,469",ABC,26-05-2024 16:06,2029,,
A,Java,"1,35,675",ABC,16-05-2024 12:31,2012,48402,21-05-2024 12:31
D,Java,"1,39,690",ABC,23-05-2024 21:49,2010,48402,28-05-2024 21:49
D,Java,"1,39,341",ABC,18-05-2024 05:00,2006,,
A,Java,"1,39,555",ABC,30-05-2024 14:15,2003,,
F,Java,"1,39,645",EFG,28-05-2024 22:08,2021,,
D,Java,"1,39,333",ABC,23-05-2024 14:45,2024,,
D,Java,"1,36,044",ABC,27-05-2024 14:09,2004,,
A,Java,"1,35,597",ABC,06-05-2024 17:59,2010,,
A,Java,"1,36,967",ABC,06-05-2024 00:54,2011,,
A,Java,"1,37,117",ABC,24-05-2024 07:06,2029,,
D,Java,"1,37,151",ABC,31-05-2024 19:54,2001,,
A,Java,"1,36,447",ABC,13-05-2024 20:23,2013,,
D,Java,"1,36,683",ABC,26-05-2024 05:49,2009,,
A,Java,"1,36,664",ABC,25-05-2024 10:54,2016,,
F,Java,"1,35,766",EFG,28-05-2024 22:51,2000,,
C,Java,"1,36,166",ABC,07-05-2024 10:21,2007,48402,19-05-2024 10:21
F,Java,"1,37,350",EFG,27-05-2024 21:41,2023,,
G,Java,"1,40,456",ABC,04-05-2024 20:37,2005,,
H,Java,"41,67,960",XYZ,14-05-2024 04:13,2018,,
D,Java,"1,40,665",ABC,06-05-2024 02:52,2025,,
A,Java,"1,40,770",ABC,27-05-2024 23:34,2001,,
H,Java,"1,40,774",ABC,16-05-2024 09:52,2030,,
F,Java,"1,40,787",EFG,11-05-2024 03:09,2001,,
E,Java,"1,40,820",ABC,17-05-2024 00:31,2010,,
D,Java,"1,40,272",ABC,05-05-2024 01:41,2002,,
A,Java,"1,40,312",ABC,21-05-2024 13:33,2004,,
C,Java,"1,40,431",ABC,06-05-2024 00:36,2014,,
A,Java,"1,40,445",ABC,20-05-2024 14:57,2003,,
E,Java,"1,40,577",ABC,29-05-2024 14:38,2002,,
E,Java,"41,88,933",EFG,06-05-2024 16:33,2026,,
D,Java,"1,40,836",ABC,07-05-2024 21:08,2004,,
F,Java,"1,40,857",EFG,08-05-2024 19:29,2026,,
F,Java,"1,40,267",EFG,31-05-2024 02:38,2018,,
E,Java,"1,40,570",ABC,08-05-2024 15:39,2016,,
D,Java,"1,40,685",ABC,29-05-2024 13:01,2011,,
B,Java,"41,90,586",EFG,01-05-2024 16:17,2002,,
F,Java,"1,40,877",EFG,18-05-2024 18:12,2027,,
A,Java,"1,38,153",ABC,13-05-2024 04:00,2007,,
F,Java,"1,38,157",EFG,10-05-2024 09:12,2015,,
H,Java,"1,38,085",ABC,20-05-2024 17:35,2015,,
D,Java,"1,38,049",ABC,27-05-2024 00:56,2023,,
E,Java,"41,91,897",XYZ,14-05-2024 01:19,2006,,
A,Java,"41,66,396",EFG,07-05-2024 05:10,2028,48402,21-05-2024 05:10
A,Java,"41,80,335",XYZ,02-05-2024 14:25,2007,,
B,Java,"41,99,277",XYZ,02-05-2024 07:04,2004,,
A,Java,"41,96,065",XYZ,10-05-2024 20:17,2018,,
D,Java,"42,00,668",EFG,29-05-2024 06:43,2013,,
A,Java,"41,92,636",EFG,27-05-2024 11:25,2017,,
B,Java,"41,80,090",EFG,02-05-2024 14:04,2030,48402,10-05-2024 14:04
A,Java,"41,74,148",EFG,13-05-2024 19:58,2002,,
A,Java,"41,68,276",XYZ,10-05-2024 13:37,2011,,
A,Java,"41,74,016",XYZ,04-05-2024 00:22,2017,,
B,Java,"41,81,371",XYZ,06-05-2024 15:25,2026,,
A,Java,"41,79,459",XYZ,25-05-2024 05:31,2025,,
A,Java,"41,97,405",EFG,01-05-2024 04:06,2024,,
A,Java,"42,09,331",XYZ,24-05-2024 20:56,2023,,
E,Java,"42,01,406",EFG,11-05-2024 21:31,2010,,
H,Java,"41,71,502",XYZ,12-05-2024 13:39,2026,,
A,Java,"41,76,765",EFG,15-05-2024 01:32,2028,,
A,Java,"41,72,530",EFG,21-05-2024 15:17,2009,,
E,Java,"41,90,671",EFG,17-05-2024 09:36,2010,,
A,Java,"42,09,290",EFG,11-05-2024 15:49,2018,,
A,Java,"41,91,102",XYZ,03-05-2024 19:07,2007,,
C,Java,"41,75,946",EFG,20-05-2024 08:18,2014,,
A,Java,"41,91,077",XYZ,19-05-2024 15:40,2028,,
E,Java,"41,92,000",XYZ,12-05-2024 09:05,2002,,
B,Java,"41,99,409",EFG,14-05-2024 12:59,2019,48402,28-05-2024 12:59
A,Java,"41,82,392",EFG,10-05-2024 20:35,2027,,
E,Java,"42,00,571",EFG,20-05-2024 12:42,2001,,
